09:35:33:333->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-20 09-15-38.png selecionado para descriptografia.
09:35:33:431->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:33:431->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-20 09-15-38.png selecionado não possuí criptografia compatível.
09:35:33:431->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-09-11.png selecionado para descriptografia.
09:35:33:530->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:33:530->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-09-11.png selecionado não possuí criptografia compatível.
09:35:33:531->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-08 09-34-08.png selecionado para descriptografia.
09:35:33:657->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.BadPaddingException: Given final block not properly padded. Such issues can arise if a bad key is used during decryption.
09:35:33:658->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-08 09-34-08.png selecionado não possuí criptografia compatível.
09:35:33:658->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 11-14-39.png selecionado para descriptografia.
09:35:33:768->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:33:769->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 11-14-39.png selecionado não possuí criptografia compatível.
09:35:33:769->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 11-24-24.png selecionado para descriptografia.
09:35:33:867->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:33:868->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 11-24-24.png selecionado não possuí criptografia compatível.
09:35:33:868->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-01 15-41-37.png selecionado para descriptografia.
09:35:33:969->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:33:969->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-01 15-41-37.png selecionado não possuí criptografia compatível.
09:35:33:970->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-12-35.png selecionado para descriptografia.
09:35:34:067->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:068->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-12-35.png selecionado não possuí criptografia compatível.
09:35:34:068->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-26 17-35-01.png selecionado para descriptografia.
09:35:34:166->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:166->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-26 17-35-01.png selecionado não possuí criptografia compatível.
09:35:34:166->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-16-06.png selecionado para descriptografia.
09:35:34:265->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:266->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-16-06.png selecionado não possuí criptografia compatível.
09:35:34:266->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-19 17-03-32.png selecionado para descriptografia.
09:35:34:367->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:368->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-19 17-03-32.png selecionado não possuí criptografia compatível.
09:35:34:368->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-20 16-01-21.png selecionado para descriptografia.
09:35:34:465->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:466->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-20 16-01-21.png selecionado não possuí criptografia compatível.
09:35:34:466->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 16-56-01.png selecionado para descriptografia.
09:35:34:564->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:564->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 16-56-01.png selecionado não possuí criptografia compatível.
09:35:34:564->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 11-14-25.png selecionado para descriptografia.
